469898,21024,15592,30265,30091,7224,29374,12442,0,0,3
1495717,56904,13756,16496,24743,12446,6140,8738,0,0,3
499759,45353,9668,15400,13956,36470,24945,25438,0,0,3
704151,323435,36164,80656,51008,30007,9317,9614,0,0,3
1355508,167923,67657,93423,106288,312843,101593,95147,0,0,3
1501706,198938,20081,119683,52532,28013,11724,15974,0,0,3
428200,441354,75908,55674,55309,26688,65388,38586,0,0,3
991345,591182,109846,104593,228539,127972,58132,93898,0,0,3
181642,133886,19058,13317,11028,33179,14423,12512,0,0,3
434604,883061,40377,93157,111134,86795,26721,39267,0,0,3
877301,121918,13875,39870,52508,67273,47445,7259,0,0,3
721567,275042,67391,103445,39181,22265,15890,33352,0,0,3
2956334,1382120,1275747,1007379,116565,212342,293514,161271,0,0,3
2307134,115417,21574,63732,35670,14178,41041,19678,0,0,3
1259498,167569,33917,3002,14880,20434,47425,13980,0,0,3
403278,69807,14343,21670,7883,31171,6936,9288,60,23,3
730153,230458,42985,21156,79732,66740,73579,26231,88,30,3
1241873,120747,4611,5021,16330,8722,1271,5578,88,30,3
804533,273733,51579,12870,31578,51665,18421,13923,67,13,3
212095,45562,3264,11427,14309,5073,3334,4605,67,13,3
1131416,39355,448,4681,5043,6774,950,1549,61,4,3
668883,252212,165814,26539,205940,102646,43266,40116,61,4,3
274690,46644,25377,19260,16697,51065,43162,37642,61,4,3
1068976,430128,576155,467698,594332,278459,457883,265338,61,4,3
44717,42022,22218,5958,16733,8725,11557,19045,61,4,3
431979,63973,16619,18888,92215,26622,31197,28391,61,4,3
761701,40356,7935,9888,23617,35275,20688,22763,61,4,3
852635,174259,13760,105817,127445,100156,78367,37326,61,4,3
1286286,116728,14799,54334,196010,117588,94263,90008,61,4,3
1895393,315504,137162,273932,90788,90472,116195,283988,61,4,3
1741134,820079,26743,77025,82169,115767,84043,37555,61,4,3
660174,20214,18335,37098,7861,6557,8945,11634,61,4,3
856472,29854,7962,16490,13108,18789,9152,13591,61,4,3
937542,478647,30500,94298,62475,110482,132473,109663,61,4,3
1103671,571879,72702,67647,84620,85960,61739,34178,61,4,3
831580,238187,196686,78109,54623,98898,43990,117018,61,4,3
1577373,105556,102417,99704,175875,188805,148994,175901,61,4,3
952381,189167,41457,292371,62011,60611,112720,114666,61,4,3
202153,41330,10670,4434,19127,6879,4337,5014,61,4,3
59940,9685,923,5943,1274,1385,351,277,51,7,3
1849409,1189536,41394,82677,299209,132742,83067,88744,21,13,3
250182,102500,20075,68563,6204,6885,16851,7897,30,14,3
171920,23287,20927,3661,4989,8360,6499,7799,17,27,3
561162,307198,43875,10114,45688,52200,37699,22462,17,27,3
278325,537400,56320,213928,255649,201799,194155,160815,17,27,3
2256527,828648,440909,264824,260374,637553,85563,99555,17,27,3
863496,482351,114396,59418,77993,102586,82684,56695,17,27,3
2099696,417660,86252,71059,61955,81181,41992,33840,17,27,3
115976,163360,159221,8122,35918,36727,38816,41283,17,27,3
182730,257206,15573,37080,9956,28264,27315,20864,17,27,3
394894,944782,79719,383186,430588,921301,421026,306407,17,27,3
274306,193115,343297,48404,93868,104310,54086,49047,17,27,3
627692,680953,34831,509796,556391,55327,50118,25969,17,27,3
243096,543833,121346,16027,45397,38313,46303,32176,17,27,3
576259,108069,7658,29040,13043,11112,21267,13862,17,27,3
724514,335651,21884,23817,42905,196914,76594,67739,17,27,3
762987,248118,123479,38966,188506,94371,198802,197803,17,27,3
1744984,765555,747381,572436,268331,269052,241700,194648,17,27,3
830850,610463,553905,482633,379243,564126,96191,122630,17,27,3
1204910,218393,239179,68634,143625,196289,109068,91409,17,27,3
1829969,120321,36576,20826,13157,23227,18753,24745,17,27,3
279071,15479,1786,4105,3751,1367,3414,8472,17,27,3
95563,92452,31736,48940,55658,55358,17593,46318,17,27,3
1033865,229788,175462,231399,78824,115386,77180,74974,17,27,3
497971,695986,405391,244717,199897,145087,187152,251001,17,27,3
716181,335091,321119,289873,251564,90692,140193,167719,16,38,3
1424244,93246,19045,48609,142670,136704,102009,40966,16,38,3
542578,234306,15418,31680,22275,28830,11160,20400,16,38,3
407154,47527,35927,13695,26124,29654,18324,40984,16,38,3
771594,308731,302101,286829,114386,78289,75993,40167,47,38,3
