706711.00,28554.00,6156.00,9459.00,6864.00,9805.00,6285.00,2279.00,35.00,41.00
340907.00,182755.00,70317.00,36137.00,31199.00,60318.00,49573.00,13698.00,20.00,38.00
130765.00,29513.00,14623.00,11061.00,5300.00,15108.00,11306.00,5564.00,23.00,54.00
253988.00,80581.00,28802.00,1815.00,7265.00,6093.00,13163.00,5981.00,20.00,61.00
851500.00,293218.00,33507.00,33207.00,17893.00,24930.00,43183.00,22751.00,7.00,53.00
1014693.00,124502.00,57770.00,41956.00,31315.00,38639.00,17953.00,30730.00,4.00,60.00
1479542.00,131868.00,58529.00,17825.00,18440.00,25529.00,16063.00,15027.00,1.00,57.00
125827.00,93559.00,10411.00,3336.00,12791.00,14367.00,8256.00,5593.00,7.00,44.00
1706194.00,550937.00,27999.00,111017.00,15421.00,51403.00,71696.00,47230.00,7.00,47.00
318920.00,68825.00,3518.00,12675.00,4687.00,10397.00,24917.00,8709.00,1.00,30.00
481872.00,67698.00,12096.00,5393.00,5748.00,3827.00,9302.00,6132.00,1.00,23.00
272821.00,725183.00,302862.00,183088.00,109455.00,127915.00,213013.00,132678.00,1.00,43.00
985703.00,984218.00,49053.00,80047.00,48645.00,33657.00,38564.00,85576.00,1.00,34.00
1286388.00,501605.00,272414.00,49860.00,21474.00,99784.00,114802.00,48203.00,1.00,47.00
692333.00,221327.00,109996.00,18178.00,33093.00,29914.00,47145.00,31579.00,1.00,54.00
479159.00,940595.00,214732.00,96070.00,84240.00,111623.00,79472.00,61314.00,1.00,47.00
1312364.00,229066.00,105911.00,23076.00,11460.00,18062.00,14914.00,21341.00,7.00,66.00
634237.00,145890.00,32802.00,47579.00,23960.00,148782.00,160040.00,41438.00,24.00,57.00
1387689.00,145116.00,20079.00,104096.00,51835.00,65166.00,43649.00,26909.00,35.00,57.00
924968.00,42019.00,17620.00,65518.00,44264.00,98592.00,36022.00,35205.00,57.00,64.00
1062320.00,2066235.00,206983.00,148361.00,273867.00,122761.00,167069.00,90447.00,56.00,48.00
832908.00,71828.00,13858.00,13142.00,4602.00,3913.00,5083.00,1021.00,26.00,53.00
333507.00,771099.00,92818.00,182253.00,54556.00,87247.00,91923.00,75529.00,14.00,47.00
558913.00,107447.00,3456.00,56406.00,16447.00,23931.00,36643.00,13447.00,1.00,44.00
1587220.00,1802875.00,471551.00,497264.00,225503.00,548093.00,569041.00,157479.00,13.00,57.00
139023.00,62442.00,21625.00,12274.00,8001.00,21704.00,13053.00,7333.00,30.00,60.00
1015740.00,31887.00,4443.00,13194.00,10843.00,18202.00,9147.00,3775.00,47.00,60.00
1727150.00,218096.00,90006.00,26938.00,12620.00,29987.00,15050.00,22496.00,41.00,61.00
847553.00,84374.00,50208.00,14979.00,19378.00,52237.00,23687.00,16788.00,47.00,63.00
613175.00,119628.00,28783.00,13119.00,15230.00,15904.00,21150.00,6549.00,38.00,57.00
1527685.00,215625.00,64471.00,43240.00,55190.00,68862.00,116994.00,63015.00,35.00,57.00
879577.00,576861.00,82657.00,45412.00,91218.00,49492.00,55441.00,64396.00,30.00,48.00
2328307.00,280258.00,101936.00,59669.00,12795.00,29978.00,70989.00,37978.00,16.00,50.00
662949.00,172410.00,21154.00,40504.00,7478.00,18348.00,17479.00,22144.00,11.00,51.00
1530801.00,300440.00,4336.00,55252.00,22325.00,19819.00,40973.00,14223.00,1.00,43.00
1697629.00,47975.00,40533.00,17806.00,13714.00,14421.00,8614.00,7336.00,4.00,61.00
1054316.00,827846.00,244925.00,55616.00,79980.00,87465.00,105116.00,56736.00,7.00,54.00
795196.00,333548.00,94115.00,70200.00,55029.00,111243.00,94632.00,47866.00,16.00,54.00
18288.00,36458.00,25251.00,9267.00,5149.00,12227.00,8907.00,4799.00,27.00,74.00
1341029.00,420519.00,17667.00,70488.00,72422.00,34365.00,56620.00,48958.00,20.00,51.00
22933.00,20290.00,5507.00,8363.00,4345.00,5639.00,7258.00,4045.00,27.00,56.00
