160084,26918,11728,7755,3846,2365,1191,1494,1,84,
840783,93268,11747,65774,99985,21266,40141,17742,1,84,2
1217192,143461,10210,11761,23137,12823,9761,7286,1,84,2
1030498,172887,24678,9847,9626,12134,5483,2068,7,88,2
612621,51515,1114,10179,9506,4846,3245,3569,7,75,2
2060214,211122,34850,16536,32368,9507,11875,3844,1,60,2
1583075,304027,26010,102954,62401,32980,31638,15189,1,53,2
2112328,50881,18995,17403,11730,7313,3240,1689,1,53,2
599749,44861,8573,7526,2411,5376,3181,2360,11,60,2
747548,177484,10319,52842,46453,47118,71120,19886,30,64,2
115642,68752,26026,27260,10595,17833,6202,6395,57,80,2
169031,32163,4394,2766,7010,9394,9557,4056,78,69,2
573309,45003,7201,2875,19394,18408,7379,3571,100,54,2
562951,166288,10807,67997,21631,11797,20013,7711,100,54,2
847248,556718,75876,213650,238838,100968,31521,23166,100,54,2
1383668,83518,21229,26444,16701,27939,12219,2447,100,61,2
173966,179649,79307,10931,10494,4494,3794,1826,77,57,2
1383478,40223,55919,40831,29407,27849,37265,33086,74,83,2
1418551,258945,37991,162601,39903,30600,34002,14039,50,100,2
259154,61712,22631,25253,30893,8514,65006,20058,40,100,2
1120779,77739,12234,7081,3884,3636,5805,3323,51,97,2
1445798,481595,22046,36531,88296,48501,26267,22007,40,67,2
477640,111704,8047,12935,6554,4689,7065,4343,30,50,2
2843525,354380,85040,80445,96863,61078,42872,49756,37,47,2
762168,191636,21217,46925,79591,81710,33423,36067,63,44,2
254778,19234,24574,9235,1520,8039,4524,3055,74,75,2
1429198,636847,270141,333932,164918,164974,99849,27543,91,91,2
802899,123060,6859,16278,15773,12246,6437,14565,87,80,2
664445,85283,21638,19072,14583,6265,10258,9686,63,87,2
1255797,101987,9294,28695,12833,22732,15135,9186,63,69,2
1982501,123795,70310,204561,26087,92582,40210,20849,69,77,2
1239536,54318,41043,16162,33921,11666,13545,9359,74,91,2
855191,6251,13087,10911,3579,3379,4913,1509,74,91,2
2415438,227387,37634,50811,23494,31574,32213,24972,83,88,2
571806,561283,33602,57049,50632,66823,117064,46790,78,80,2
113926,4204,758,835,706,2126,790,1381,78,80,2
1212610,35728,23872,44830,15958,23645,7494,5068,78,80,2
1563394,393339,135146,43787,55357,87905,67306,23201,78,80,2
463875,41528,12774,6603,4714,4140,3401,5671,78,80,2
351181,179020,24732,13240,61695,26349,5139,9248,69,53,2
1637775,466548,26647,117133,30041,29428,12022,24223,57,43,2
830852,196403,164751,29017,106676,89247,38650,16670,69,50,2
682903,125124,16385,21649,18911,16657,8765,12180,69,57,2
74438,77231,14593,22513,3787,12475,7592,10632,69,74,2
1093545,118906,80921,133963,18895,33456,36045,16736,80,91,2
133757,275610,70733,13741,18166,43890,38139,24840,70,81,2
729377,127315,41370,5904,29054,31441,12592,20635,78,80,2
93387,60365,14259,12921,5587,9489,17299,4853,78,77,2
779610,535203,164047,21925,17755,66800,26840,38198,77,57,2
669752,70657,94316,50053,20377,3272,15999,7359,77,57,2
1167404,2046688,351677,157474,317812,219816,160603,99800,74,56,2
1083325,150317,25337,63446,51703,42146,112543,31626,70,61,2
1174466,120292,91582,221227,73018,75372,72559,60346,77,75,2
1199288,114247,105064,39716,40329,18674,35529,7005,74,87,2
